Combination_Index,n_estimators,learning_rate,MSE,RMSE,MAE,R2
32,70,0.2,274521.3382561724,523.9478392513633,432.3563452727199,0.6994721102168855
33,80,0.01,302611.14958698617,550.1010357988669,435.2453709111001,0.668721233883266
34,80,0.05,284458.08438897354,533.3461206280341,431.6516902912521,0.6885940146722158
35,80,0.1,275172.13000999496,524.5685179364036,428.56484298567096,0.6987596662454736
36,80,0.2,274247.31244440173,523.6862729195809,433.4185805658289,0.699772095636892
37,90,0.01,303637.06725157454,551.0327279314492,436.9718593671019,0.6675981267587399
38,90,0.05,282239.6658786232,531.2623324485025,431.09779628521517,0.6910225932220888
39,90,0.1,275792.73859985126,525.1597267497302,430.80701807362755,0.6980802648150581
40,90,0.2,274888.004936446,524.2976301076003,435.63087536779386,0.6990707076724554
41,100,0.01,302961.39310751413,550.4192884588203,436.79325696249447,0.6683378103330126
42,100,0.05,282123.8140738222,531.1532867956502,431.92912146156254,0.6911494201516294
43,100,0.1,275457.04376429616,524.8400173046032,432.00811860788184,0.698447761422722
44,100,0.2,274831.59157090244,524.2438283574756,436.33766519165044,0.6991324653114428
45,110,0.01,303549.8117048643,550.9535476833454,437.71130906953505,0.6676936483873727
46,110,0.05,279680.667966592,528.8484357229319,431.0368443198591,0.6938240156810762
47,110,0.1,275882.82617538446,525.2454913422717,432.60149677805646,0.6979816428676983
48,110,0.2,277972.11298652116,527.2306070274384,439.5451282357434,0.6956944292015728
49,120,0.01,300046.4744268579,547.7649810154514,435.6846631109548,0.6715288714197452
50,120,0.05,279037.14901655586,528.2396700519148,431.10672731062925,0.694528497865661
51,120,0.1,275651.0763239996,525.0248340069254,432.69521033189363,0.6982353473492393
52,120,0.2,278589.3720925731,527.8156610906625,441.04061941145136,0.6950186945655348
53,130,0.01,297590.0381490899,545.5181373236732,434.45887015713464,0.6742180161530242
54,130,0.05,278487.3688686371,527.7190245468104,431.29403322187517,0.6951303609803763
55,130,0.1,275284.79605526634,524.6758962018994,433.1797928068714,0.6986363268757521
56,130,0.2,281648.19099904643,530.7053711797596,444.6252222503073,0.6916701009843198
57,140,0.01,295537.0127952341,543.633160132119,433.16985686405945,0.6764655331627576
58,140,0.05,277750.26500931784,527.0201751444795,431.0361990937826,0.6959372937630858
59,140,0.1,275101.4158493384,524.5011113899935,433.49489375473723,0.6988370794535501
60,140,0.2,283970.12973251287,532.8884777629489,447.2659977520656,0.6891281953087648
61,150,0.01,293123.37828742655,541.4086980160428,431.47096583682753,0.6791078213358621
62,150,0.05,277521.67887241556,526.8032639158716,431.21561912152015,0.696187534818274
63,150,0.1,274828.42543248745,524.2408086294765,433.9198043631729,0.6991359313913572
64,150,0.2,284707.5322837146,533.5799211774321,448.15670612268605,0.6883209355378447
65,160,0.01,290087.5014906478,538.5977176805039,429.63073377792153,0.682431299405629
66,160,0.05,277908.1657300103,527.169959054962,432.09179393176987,0.695764434448446
67,160,0.1,275568.3512549541,524.9460460418329,435.29418652523987,0.6983259093091596
68,160,0.2,284707.5322837146,533.5799211774321,448.15670612268605,0.6883209355378447
69,170,0.01,288560.8230533955,537.1785765026333,428.1333993147421,0.6841026064597155
70,170,0.05,277638.03849840857,526.9136916976144,432.18758334770286,0.6960601519595215
71,170,0.1,276272.60229212313,525.6164022289669,436.642880831629,0.6975549416334867
72,170,0.2,284707.5322837146,533.5799211774321,448.15670612268605,0.6883209355378447
73,180,0.01,287561.40470812697,536.2475218666534,427.40461552668444,0.6851967038738619
74,180,0.05,277072.6474663954,526.3769062814167,432.19225801441854,0.6966791048425016
75,180,0.1,276498.92720980477,525.8316529173617,437.2845887554607,0.6973071760122485
76,180,0.2,284707.5322837146,533.5799211774321,448.15670612268605,0.6883209355378447
77,190,0.01,287026.5115885504,535.7485525771865,427.6798295944738,0.6857822696499396
78,190,0.05,276791.5885753984,526.1098635982777,432.3731728703201,0.6969867896146679
79,190,0.1,276049.7109286943,525.404330900207,437.10782352139375,0.6977989484255549
80,190,0.2,284707.5322837146,533.5799211774321,448.15670612268605,0.6883209355378447
