Combination_Index,C,gamma,epsilon,R2
36,0.01,0.00206913808111479,0.5,-0.020312046148712515
37,0.01,0.00379269019073225,0.001,-0.01999962804819977
38,0.01,0.00379269019073225,0.01,-0.01999962804819977
39,0.01,0.00379269019073225,0.05,-0.01999962804819977
40,0.01,0.00379269019073225,0.1,-0.01999962804819977
41,0.01,0.00379269019073225,0.2,-0.01999962804819999
42,0.01,0.00379269019073225,0.5,-0.019999084150857716
43,0.01,0.0069519279617756054,0.001,-0.01952840942774503
44,0.01,0.0069519279617756054,0.01,-0.01952840942774503
45,0.01,0.0069519279617756054,0.05,-0.01952840942774503
46,0.01,0.0069519279617756054,0.1,-0.01952840942774503
47,0.01,0.0069519279617756054,0.2,-0.01952840942774503
48,0.01,0.0069519279617756054,0.5,-0.01952840942774503
49,0.01,0.012742749857031334,0.001,-0.01892626033629652
50,0.01,0.012742749857031334,0.01,-0.01892626033629652
51,0.01,0.012742749857031334,0.05,-0.01892626033629652
52,0.01,0.012742749857031334,0.1,-0.01892626033629674
53,0.01,0.012742749857031334,0.2,-0.01892626033629674
54,0.01,0.012742749857031334,0.5,-0.01892626033629652
55,0.01,0.023357214690901212,0.001,-0.01838400427794107
56,0.01,0.023357214690901212,0.01,-0.01838400427794107
57,0.01,0.023357214690901212,0.05,-0.01838400427794107
58,0.01,0.023357214690901212,0.1,-0.01838400427794107
59,0.01,0.023357214690901212,0.2,-0.01838400427794107
60,0.01,0.023357214690901212,0.5,-0.01838400427794107
61,0.01,0.04281332398719392,0.001,-0.01826602218465223
62,0.01,0.04281332398719392,0.01,-0.01826602218465223
63,0.01,0.04281332398719392,0.05,-0.01826602218465223
64,0.01,0.04281332398719392,0.1,-0.01826602218465223
65,0.01,0.04281332398719392,0.2,-0.01826602218465201
66,0.01,0.04281332398719392,0.5,-0.018266022184651787
67,0.01,0.07847599703514607,0.001,-0.01877521717121655
68,0.01,0.07847599703514607,0.01,-0.01877521717121655
69,0.01,0.07847599703514607,0.05,-0.01877521717121655
70,0.01,0.07847599703514607,0.1,-0.01877521717121655
71,0.01,0.07847599703514607,0.2,-0.01877521717121655
72,0.01,0.07847599703514607,0.5,-0.01877521717121655
73,0.01,0.14384498882876628,0.001,-0.019581476992882152
74,0.01,0.14384498882876628,0.01,-0.019581476992882152
75,0.01,0.14384498882876628,0.05,-0.019581476992882152
76,0.01,0.14384498882876628,0.1,-0.019581476992882152
77,0.01,0.14384498882876628,0.2,-0.019581476992882152
78,0.01,0.14384498882876628,0.5,-0.019581245634477273
79,0.01,0.26366508987303583,0.001,-0.02021274830125419
80,0.01,0.26366508987303583,0.01,-0.02021274830125419
81,0.01,0.26366508987303583,0.05,-0.02021274830125419
82,0.01,0.26366508987303583,0.1,-0.02021274830125419
83,0.01,0.26366508987303583,0.2,-0.02021274830125419
84,0.01,0.26366508987303583,0.5,-0.020212704564783968
85,0.01,0.4832930238571752,0.001,-0.020545453770575817
86,0.01,0.4832930238571752,0.01,-0.020545453770575817
87,0.01,0.4832930238571752,0.05,-0.020545453770575817
88,0.01,0.4832930238571752,0.1,-0.020545453770575817
89,0.01,0.4832930238571752,0.2,-0.020545453770575817
90,0.01,0.4832930238571752,0.5,-0.020545438812026973
91,0.01,0.8858667904100823,0.001,-0.020682511264876968
92,0.01,0.8858667904100823,0.01,-0.020682511264876968
93,0.01,0.8858667904100823,0.05,-0.020682511264876968
94,0.01,0.8858667904100823,0.1,-0.020682511264876968
95,0.01,0.8858667904100823,0.2,-0.020682511264876968
96,0.01,0.8858667904100823,0.5,-0.02068250530784188
97,0.01,1.623776739188721,0.001,-0.020731118212729882
98,0.01,1.623776739188721,0.01,-0.020731118212729882
99,0.01,1.623776739188721,0.05,-0.020731118212729882
100,0.01,1.623776739188721,0.1,-0.020731118212729882
101,0.01,1.623776739188721,0.2,-0.020731118212729882
102,0.01,1.623776739188721,0.5,-0.020731117021622003
103,0.01,2.9763514416313193,0.001,-0.02074660396992245
104,0.01,2.9763514416313193,0.01,-0.02074660396992245
105,0.01,2.9763514416313193,0.05,-0.02074660396992245
106,0.01,2.9763514416313193,0.1,-0.02074660396992245
107,0.01,2.9763514416313193,0.2,-0.02074660396992245
108,0.01,2.9763514416313193,0.5,-0.020746603910119843
109,0.01,5.455594781168514,0.001,-0.020751004367402626
110,0.01,5.455594781168514,0.01,-0.020751004367402626
111,0.01,5.455594781168514,0.05,-0.020751004367402626
112,0.01,5.455594781168514,0.1,-0.020751004367402626
113,0.01,5.455594781168514,0.2,-0.020751004367402626
114,0.01,5.455594781168514,0.5,-0.020751004367160597
115,0.01,10.0,0.001,-0.02075205006438252
116,0.01,10.0,0.01,-0.02075205006438252
117,0.01,10.0,0.05,-0.02075205006438252
118,0.01,10.0,0.1,-0.02075205006438252
119,0.01,10.0,0.2,-0.02075205006438252
120,0.01,10.0,0.5,-0.02075205006438252
121,0.01778279410038923,0.0001,0.001,-0.020711040390011703
122,0.01778279410038923,0.0001,0.01,-0.020711040390011703
123,0.01778279410038923,0.0001,0.05,-0.020711040390011703
124,0.01778279410038923,0.0001,0.1,-0.020711040390011703
125,0.01778279410038923,0.0001,0.2,-0.020711040390011703
126,0.01778279410038923,0.0001,0.5,-0.020711011127920065
127,0.01778279410038923,0.00018329807108324357,0.001,-0.020677025845384334
128,0.01778279410038923,0.00018329807108324357,0.01,-0.020677025845384334
129,0.01778279410038923,0.00018329807108324357,0.05,-0.020677025845384334
130,0.01778279410038923,0.00018329807108324357,0.1,-0.020677025845384556
131,0.01778279410038923,0.00018329807108324357,0.2,-0.020677025845384334
132,0.01778279410038923,0.00018329807108324357,0.5,-0.02067697229868881
133,0.01778279410038923,0.0003359818286283781,0.001,-0.020615402796165805
134,0.01778279410038923,0.0003359818286283781,0.01,-0.020615402796165805
135,0.01778279410038923,0.0003359818286283781,0.05,-0.020615402796165805
136,0.01778279410038923,0.0003359818286283781,0.1,-0.020615402796165805
137,0.01778279410038923,0.0003359818286283781,0.2,-0.020615402796165805
138,0.01778279410038923,0.0003359818286283781,0.5,-0.020615305063723888
139,0.01778279410038923,0.0006158482110660267,0.001,-0.02050461591981989
140,0.01778279410038923,0.0006158482110660267,0.01,-0.02050461591981989
141,0.01778279410038923,0.0006158482110660267,0.05,-0.02050461591981989
142,0.01778279410038923,0.0006158482110660267,0.1,-0.02050461591981989
143,0.01778279410038923,0.0006158482110660267,0.2,-0.02050461591981989
144,0.01778279410038923,0.0006158482110660267,0.5,-0.020504438457516372
145,0.01778279410038923,0.0011288378916846883,0.001,-0.02030837466028701
146,0.01778279410038923,0.0011288378916846883,0.01,-0.02030837466028701
147,0.01778279410038923,0.0011288378916846883,0.05,-0.02030837466028701
148,0.01778279410038923,0.0011288378916846883,0.1,-0.02030837466028701
149,0.01778279410038923,0.0011288378916846883,0.2,-0.02030837466028701
150,0.01778279410038923,0.0011288378916846883,0.5,-0.020308055421716542
151,0.01778279410038923,0.00206913808111479,0.001,-0.019970076913236712
152,0.01778279410038923,0.00206913808111479,0.01,-0.019970076913236712
153,0.01778279410038923,0.00206913808111479,0.05,-0.019970076913236712
154,0.01778279410038923,0.00206913808111479,0.1,-0.019970076913236712
155,0.01778279410038923,0.00206913808111479,0.2,-0.019970076913236712
156,0.01778279410038923,0.00206913808111479,0.5,-0.01996951243636258
157,0.01778279410038923,0.00379269019073225,0.001,-0.01941418367996528
158,0.01778279410038923,0.00379269019073225,0.01,-0.019414183679965058
159,0.01778279410038923,0.00379269019073225,0.05,-0.01941418367996528
160,0.01778279410038923,0.00379269019073225,0.1,-0.019414183679965502
161,0.01778279410038923,0.00379269019073225,0.2,-0.019414183679965502
162,0.01778279410038923,0.00379269019073225,0.5,-0.019414183679965502
163,0.01778279410038923,0.0069519279617756054,0.001,-0.018576811050821984
164,0.01778279410038923,0.0069519279617756054,0.01,-0.018576811050821984
165,0.01778279410038923,0.0069519279617756054,0.05,-0.018576811050821984
166,0.01778279410038923,0.0069519279617756054,0.1,-0.018576811050821984
167,0.01778279410038923,0.0069519279617756054,0.2,-0.018576811050821984
168,0.01778279410038923,0.0069519279617756054,0.5,-0.018576811050822206
169,0.01778279410038923,0.012742749857031334,0.001,-0.01750715299827066
170,0.01778279410038923,0.012742749857031334,0.01,-0.01750715299827066
171,0.01778279410038923,0.012742749857031334,0.05,-0.01750715299827066
172,0.01778279410038923,0.012742749857031334,0.1,-0.01750715299827066
173,0.01778279410038923,0.012742749857031334,0.2,-0.01750715299827066
174,0.01778279410038923,0.012742749857031334,0.5,-0.01750715299827066
175,0.01778279410038923,0.023357214690901212,0.001,-0.01654422907556863
176,0.01778279410038923,0.023357214690901212,0.01,-0.01654422907556863
177,0.01778279410038923,0.023357214690901212,0.05,-0.01654422907556863
178,0.01778279410038923,0.023357214690901212,0.1,-0.01654422907556863
179,0.01778279410038923,0.023357214690901212,0.2,-0.016544229075568406
180,0.01778279410038923,0.023357214690901212,0.5,-0.016544229075568406
181,0.01778279410038923,0.04281332398719392,0.001,-0.01633471339017012
182,0.01778279410038923,0.04281332398719392,0.01,-0.01633471339017012
183,0.01778279410038923,0.04281332398719392,0.05,-0.01633471339017012
184,0.01778279410038923,0.04281332398719392,0.1,-0.01633471339017012
185,0.01778279410038923,0.04281332398719392,0.2,-0.01633471339017012
186,0.01778279410038923,0.04281332398719392,0.5,-0.01633471339017012
187,0.01778279410038923,0.07847599703514607,0.001,-0.017238816501810472
188,0.01778279410038923,0.07847599703514607,0.01,-0.017238816501810472
189,0.01778279410038923,0.07847599703514607,0.05,-0.017238816501810472
190,0.01778279410038923,0.07847599703514607,0.1,-0.017238816501810472
191,0.01778279410038923,0.07847599703514607,0.2,-0.017238816501810472
192,0.01778279410038923,0.07847599703514607,0.5,-0.017238816501810472
193,0.01778279410038923,0.14384498882876628,0.001,-0.018671061476200457
194,0.01778279410038923,0.14384498882876628,0.01,-0.018671061476200457
195,0.01778279410038923,0.14384498882876628,0.05,-0.018671061476200457
196,0.01778279410038923,0.14384498882876628,0.1,-0.018671061476200457
197,0.01778279410038923,0.14384498882876628,0.2,-0.018671061476200457
198,0.01778279410038923,0.14384498882876628,0.5,-0.018671061476200457
199,0.01778279410038923,0.26366508987303583,0.001,-0.01979298831004961
200,0.01778279410038923,0.26366508987303583,0.01,-0.01979298831004961
