Hyperparameters,max_depth,min_samples_split,min_samples_leaf,R2
95,5.0,2,19,0.7367936613409771
96,6.0,2,1,0.7308242060779296
97,6.0,2,2,0.730273597334304
98,6.0,2,3,0.7419980477924843
99,6.0,2,4,0.7405136979717828
100,6.0,2,5,0.7409316533360538
101,6.0,2,6,0.7406508735538903
102,6.0,2,7,0.7425686705040958
103,6.0,2,8,0.7425727231468051
104,6.0,2,9,0.7391922205204804
105,6.0,2,10,0.737496906451691
106,6.0,2,11,0.7431823095620014
107,6.0,2,12,0.7412442360520426
108,6.0,2,13,0.7416651659751372
109,6.0,2,14,0.7431084991608709
110,6.0,2,15,0.7500816091456493
111,6.0,2,16,0.7560466643013362
112,6.0,2,17,0.7594839393997148
113,6.0,2,18,0.7594407847152298
114,6.0,2,19,0.7518739767348659
115,7.0,2,1,0.7251695828906719
116,7.0,2,2,0.7291944808702351
117,7.0,2,3,0.7484379464320532
118,7.0,2,4,0.7485111597090681
119,7.0,2,5,0.7481369190391969
120,7.0,2,6,0.7444674090696375
121,7.0,2,7,0.7483631080203437
122,7.0,2,8,0.7453784608342899
123,7.0,2,9,0.7420930187845052
124,7.0,2,10,0.7474850950043608
125,7.0,2,11,0.7468772573283187
126,7.0,2,12,0.7439042455214055
127,7.0,2,13,0.7450755109419693
128,7.0,2,14,0.7477392856368944
129,7.0,2,15,0.7537755349696913
130,7.0,2,16,0.7586449384956242
131,7.0,2,17,0.7616562209662605
132,7.0,2,18,0.7583724407289036
133,7.0,2,19,0.7519280819647772
134,8.0,2,1,0.7343561590503462
135,8.0,2,2,0.7302048289467302
136,8.0,2,3,0.750173615951937
137,8.0,2,4,0.756127600368411
138,8.0,2,5,0.747918157563257
139,8.0,2,6,0.7443508683041891
140,8.0,2,7,0.7505414680166343
141,8.0,2,8,0.7551907357004867
142,8.0,2,9,0.7428590297228926
143,8.0,2,10,0.7494626086624396
144,8.0,2,11,0.7488621066311026
145,8.0,2,12,0.7493658483821837
146,8.0,2,13,0.7505066916417003
147,8.0,2,14,0.7563941707411646
148,8.0,2,15,0.7601081859867393
149,8.0,2,16,0.7663484619486295
150,8.0,2,17,0.7705123254833024
151,8.0,2,18,0.7669882794604557
152,8.0,2,19,0.7557548464984616
153,9.0,2,1,0.7209764395310583
154,9.0,2,2,0.7302517655307934
155,9.0,2,3,0.7447986842467729
156,9.0,2,4,0.7536608832660939
157,9.0,2,5,0.7408016808609492
158,9.0,2,6,0.7292521958636756
159,9.0,2,7,0.7374739660281969
160,9.0,2,8,0.7476128299828343
161,9.0,2,9,0.7406307805843612
162,9.0,2,10,0.7417601846829375
163,9.0,2,11,0.739027593386556
164,9.0,2,12,0.7438471924763703
165,9.0,2,13,0.7494021564272031
166,9.0,2,14,0.7544869643544356
